# HEADER SECTION (each line must be preceded by a #)
#
# 1st line describes the problem type, must be one of the following:
#   - "knapsack"
#   - "n-knapsack <nb_slots>", with <nb_slots> the number of slots in the multi-dimensional knapsack problem
#
# 2nd line describes the problem constraint, which is the maximum weight for (each) backpack.
#
# 3rd to nth lines describe the items, each line must have the following format: <weight> <value>
#
# Note: You can use this website to verify your solution: https://augustineaykara.github.io/Knapsack-Calculator/
#
n-knapsack 4
60
50 5
20 10
5 15
47 20
10 10
20 10
8 15
52 20
17 10

